,aNWP,aNSW,rSL,avWLiC,avWpS,aSN,SC,avNSyl,WV2,FRE,aNShort,language,.,!,?,",",-,of,is,the,class
10,2707,0.4022903583302549,121.01612903225806,4.444403398596232,21.830645161290324,124,1.9842611862643078,1.3926856298485408,0.33099371998522353,67.01121506965217,0.0011082379017362395,10,0.4740740740740741,0.011111111111111112,0.05925925925925926,0.4185185185185185,0.037037037037037035,0.02216475803472479,0.02105652013298855,0.03213889915035094,1
11,2806,0.4098360655737705,117.87218045112782,4.50392017106201,21.097744360902254,133,2.3155633444513537,1.4052031361368496,0.3823948681397007,66.68560415650676,0.006414825374198147,10,0.478125,0.00625,0.04375,0.4,0.071875,0.025302922309337134,0.01674982181040627,0.06022808267997149,3
12,3183,0.39993716619541314,143.912,4.551680804272698,25.464,125,4.193408,1.4216148287778825,0.3085139805215206,60.874705485391154,0.0097392397109645,10,0.4281767955801105,0.0,0.0055248618784530384,0.5,0.06629834254143646,0.025133521834747093,0.011310084825636193,0.07163053722902922,1
13,2528,0.4074367088607595,118.78632478632478,4.403085443037975,21.60683760683761,117,2.6692965154503616,1.3619462025316456,0.3603639240506329,69.83956494103649,0.024129746835443038,10,0.4793103448275862,0.034482758620689655,0.017241379310344827,0.43448275862068964,0.034482758620689655,0.02333860759493671,0.017009493670886076,0.060126582278481014,1
14,1401,0.3947180585296217,117.42028985507247,4.686652391149179,20.304347826086957,69,1.8712455366519638,1.46395431834404,0.42255531763026405,62.434392204326116,0.01998572448251249,10,0.5033112582781457,0.013245033112582781,0.006622516556291391,0.39072847682119205,0.08609271523178808,0.027837259100642397,0.011420413990007138,0.05710206995003569,3
15,4792,0.36185308848080133,130.70833333333334,4.769616026711185,22.185185185185187,216,5.158436213991769,1.4753756260434057,0.29465776293823037,59.55664796265382,0.009599332220367279,10,0.3440366972477064,0.0015290519877675841,0.01834862385321101,0.5626911314984709,0.07339449541284404,0.02191151919866444,0.008764607679465776,0.05509181969949917,2
16,3183,0.4005655042412818,159.94690265486724,4.572730128809299,28.168141592920353,113,4.231811418278643,1.433239082626453,0.3459000942507069,57.15399130891714,0.014451775054979578,10,0.391812865497076,0.0,0.02046783625730994,0.4619883040935672,0.12573099415204678,0.03110273327049953,0.01665095821551995,0.06817467797675149,1
17,3246,0.38570548367221197,123.11842105263158,4.662045594577942,21.355263157894736,152,3.0325917590027696,1.4698089956869993,0.3219346888478127,60.907053701721985,0.010782501540357363,10,0.4123456790123457,0.009876543209876543,0.027160493827160494,0.4271604938271605,0.12345679012345678,0.022181146025878003,0.01725200246457178,0.05545286506469501,3
18,1989,0.37104072398190047,153.68,4.682252388134741,26.52,75,3.344,1.4489693313222725,0.3926596279537456,57.483261236802434,0.017596782302664656,10,0.3827751196172249,0.004784688995215311,0.06220095693779904,0.430622009569378,0.11961722488038277,0.030668677727501256,0.013071895424836602,0.06033182503770739,3
19,4810,0.3937629937629938,164.9171597633136,4.672141372141372,28.46153846153846,169,4.761037778789259,1.4505197505197505,0.3216216216216216,55.340674076443335,0.009771309771309772,10,0.4187380497131931,0.0076481835564053535,0.015296367112810707,0.497131931166348,0.06118546845124283,0.021621621621621623,0.014553014553014554,0.050311850311850315,3
